"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
446,"high",TRUE,FALSE,0.099,0.9,0.05,0.2,0.2,0.655564670658683,0.692679967394653,0.283438922155689,0.0609964071856287
461,"high",TRUE,FALSE,0.165,0.38,0.05,NA,NA,0,0,0.0897325349301397,0.91026746506986
445,"high",TRUE,FALSE,0.099,0.88,0.05,0.2,0.2,0.651285229540918,0.686948599640894,0.288422954091816,0.0602918163672655
466,"high",TRUE,FALSE,0.165,0.48,0.05,NA,NA,0,0,0.0903992015968064,0.909600798403194
382,"high",TRUE,FALSE,0.033,0.44,0.05,0.1,0.1,0.571256087824351,0.631409345035292,0.335349101796407,0.0933948103792415
451,"high",TRUE,FALSE,0.099,1,0.05,0.2,0.2,0.705985628742515,0.731176788740715,0.247931936127745,0.0460824351297405
462,"high",TRUE,FALSE,0.165,0.4,0.05,NA,NA,0,0,0.0909820359281437,0.909017964071856
463,"high",TRUE,FALSE,0.165,0.42,0.05,NA,NA,0,0,0.0900852295409182,0.909914770459082
464,"high",TRUE,FALSE,0.165,0.44,0.05,NA,NA,0,0,0.0893714570858283,0.910628542914172
465,"high",TRUE,FALSE,0.165,0.46,0.05,NA,NA,0,0,0.0911784431137725,0.908821556886228
467,"high",TRUE,FALSE,0.165,0.5,0.05,NA,NA,0,0,0.0904508982035928,0.909549101796407
444,"high",TRUE,FALSE,0.099,0.86,0.05,0.2,0.2,0.638654091816367,0.678789821450126,0.296660479041916,0.0646854291417166
469,"high",TRUE,FALSE,0.165,0.54,0.05,NA,NA,0,0,0.0929664670658683,0.907033532934132
468,"high",TRUE,FALSE,0.165,0.52,0.05,NA,NA,0,0,0.0915518962075848,0.908448103792415
473,"high",TRUE,FALSE,0.165,0.62,0.05,NA,NA,0,0,0.0899568862275449,0.910043113772455
470,"high",TRUE,FALSE,0.165,0.56,0.05,NA,NA,0,0,0.0914572854291417,0.908542714570858
443,"high",TRUE,FALSE,0.099,0.84,0.05,0.2,0.2,0.630718363273453,0.671799111213225,0.30267005988024,0.0666115768463074
471,"high",TRUE,FALSE,0.165,0.58,0.05,NA,NA,0,0,0.0923369261477046,0.907663073852295
472,"high",TRUE,FALSE,0.165,0.6,0.05,NA,NA,0,0,0.0923137724550898,0.90768622754491
435,"high",TRUE,FALSE,0.099,0.68,0.05,0.2,0.2,0.493949500998004,0.576540038515022,0.378007584830339,0.128042914171657
475,"high",TRUE,FALSE,0.165,0.66,0.05,NA,NA,0,0,0.091821756487026,0.908178243512974
474,"high",TRUE,FALSE,0.165,0.64,0.05,NA,NA,0,0,0.0895794411177645,0.910420558882235
476,"high",TRUE,FALSE,0.165,0.68,0.05,NA,NA,0,0,0.0908798403193613,0.909120159680639
477,"high",TRUE,FALSE,0.165,0.7,0.05,NA,NA,0,0,0.0904149700598802,0.90958502994012
478,"high",TRUE,FALSE,0.165,0.72,0.05,NA,NA,0,0,0.0913672654690619,0.908632734530938
479,"high",TRUE,FALSE,0.165,0.74,0.05,NA,NA,0,0,0.0925025948103792,0.907497405189621
480,"high",TRUE,FALSE,0.165,0.76,0.05,NA,NA,0,0,0.08902375249501,0.91097624750499
