"ID","starting","grazing","environmt","mort_int","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
249,"high",0.7,0.7,0.2,NA,NA,0,0.510964235764236,0,0.587406382624907,0.0901074925074925,0.909892507492507
244,"high",0.7,0.2,0.2,NA,NA,0,0,0,0,0.0908371628371628,0.909162837162837
243,"high",0.6,1,0.2,NA,NA,0,0.701916883116883,0,0.728830014016189,0.0917202797202797,0.90827972027972
248,"high",0.7,0.6,0.2,NA,NA,0,0.375012187812188,0,0.508581223666458,0.0825374625374625,0.917462537462537
247,"high",0.7,0.5,0.2,NA,NA,0,0,0,0,0.0875288711288711,0.912471128871129
250,"high",0.7,0.8,0.2,NA,NA,0,0.601502097902098,0,0.65109297991695,0.0893346653346653,0.910665334665335
246,"high",0.7,0.4,0.2,NA,NA,0,0,0,0,0.0890317682317682,0.910968231768232
253,"high",0.8,0.2,0.2,NA,NA,0,0,0,0,0.0919488511488512,0.908051148851149
258,"high",0.8,0.7,0.2,NA,NA,0,0.521987612387612,0,0.594322520806667,0.0902977022977023,0.909702297702298
257,"high",0.8,0.6,0.2,NA,NA,0,0.36886993006993,0,0.50242097007692,0.0947988011988012,0.905201198801199
