"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
2179,0.8,TRUE,FALSE,0.025,0.2,0.05,NA,NA,0,0.8119,0,0.0905215568862275,0.909478443113772
2181,0.8,TRUE,FALSE,0.025,0.25,0.05,NA,NA,0,0.8117,0,0.0918806387225549,0.908119361277445
2176,0.8,TRUE,FALSE,0,0.95,0.05,0.05,0.05,0.925946107784431,0.8113,0.92765889440127,0.0659782435129741,0.00807564870259481
2182,0.8,TRUE,FALSE,0.025,0.275,0.05,0.1,0.1,0.121192814371257,0.8114,0.415772543999059,0.249199201596806,0.629607984031936
2140,0.3,TRUE,FALSE,0.1,0.875,0.05,0.25,0.25,0.539311776447106,0.2444,0.603873608065096,0.359807584830339,0.100880638722555
2178,0.8,TRUE,FALSE,0,1,0.05,0.05,0.05,0.930055489021956,0.8101,0.931502651990322,0.0623363273453094,0.00760818363273453
2183,0.8,TRUE,FALSE,0.025,0.3,0.05,0.1,0.1,0.243571057884232,0.8127,0.454927020737853,0.354188423153693,0.402240518962076
2184,0.8,TRUE,FALSE,0.025,0.325,0.05,0.1,0.1,0.349453493013972,0.8089,0.496850681430048,0.393660479041916,0.256886027944112
2194,0.8,TRUE,FALSE,0.025,0.575,0.05,0.1,0.1,0.704983632734531,0.8077,0.732216040028823,0.24760998003992,0.0474063872255489
2141,0.3,TRUE,FALSE,0.1,0.9,0.05,0.25,0.25,0.558837125748503,0.2388,0.61848158858512,0.34937125748503,0.0917916167664671
2200,0.8,TRUE,FALSE,0.025,0.725,0.05,0.1,0.1,0.785291017964072,0.8106,0.799689465242843,0.184944311377246,0.0297646706586826
2185,0.8,TRUE,FALSE,0.025,0.35,0.05,0.1,0.1,0.406184231536926,0.8096,0.526066241498119,0.393212974051896,0.200602794411178
2199,0.8,TRUE,FALSE,0.025,0.7,0.05,0.1,0.1,0.774931337325349,0.8085,0.790144291224782,0.193550698602794,0.0315179640718563
2201,0.8,TRUE,FALSE,0.025,0.75,0.05,0.1,0.1,0.795539520958084,0.8101,0.807381444508933,0.177061676646707,0.0273988023952096
2198,0.8,TRUE,FALSE,0.025,0.675,0.05,0.1,0.1,0.764676047904192,0.8152,0.780750452442923,0.201700998003992,0.0336229540918164
2195,0.8,TRUE,FALSE,0.025,0.6,0.05,0.1,0.1,0.724723153692615,0.8118,0.747886175710837,0.233107185628743,0.0421696606786427
2196,0.8,TRUE,FALSE,0.025,0.625,0.05,0.1,0.1,0.738268063872256,0.8173,0.759455002996395,0.2216375249501,0.0400944111776447
